date_done;number_of_task;card_number;sheets_amount;coefficient_of_use;massa_of_sheet;full_calc_time;all_full_perimeter;sheets_mass;full_time;sum_perimeter
2020-04-05;150150;13826;1;78.0;565.1999999999999;0.11485416666666666;181210.0;565.1999999999999;0.11485416666666666;181210.0
2020-04-05;149999;13801;1;79.0;1130.3999999999999;0.09520416666666666;124220.0;1130.3999999999999;0.09520416666666666;124220.0
2020-04-05;149774;13770;2;90.0;282.59999999999997;0.018605833333333332;101624.0;565.1999999999999;0.037211666666666664;203248.0
2020-04-05;149775;13769;2;90.0;282.59999999999997;0.018604166666666668;101624.0;565.1999999999999;0.037208333333333336;203248.0
2020-04-05;150001;13806;1;70.0;847.8000000000001;0.09838333333333334;143000.0;847.8000000000001;0.09838333333333334;143000.0
2020-04-05;150010;13807;1;84.0;565.1999999999999;0.080175;154124.0;565.1999999999999;0.080175;154124.0
2020-04-05;150019;13823;1;85.0;565.1999999999999;0.08255416666666666;120920.0;565.1999999999999;0.08255416666666666;120920.0
2020-04-05;150151;13825;1;80.0;565.1999999999999;0.06184583333333333;124310.0;565.1999999999999;0.06184583333333333;124310.0
2020-04-05;150150;13826;1;78.0;565.1999999999999;0.11485416666666666;181210.0;565.1999999999999;0.11485416666666666;181210.0
2020-04-05;150052;13800;1;74.0;1130.3999999999999;0.069675;114432.0;1130.3999999999999;0.069675;114432.0
2020-04-04;149745;13749;1;87.0;706.5;0.043225000000000006;60600.0;706.5;0.043225000000000006;60600.0
2020-04-04;149744;13750;1;75.0;706.5;0.0285125;73360.0;706.5;0.0285125;73360.0
2020-04-04;150009;13751;1;82.0;706.5;0.060991666666666666;116308.0;706.5;0.060991666666666666;116308.0
2020-04-04;150016;13810;1;77.0;847.8000000000001;0.15158375;128920.0;847.8000000000001;0.15158375;128920.0
2020-04-04;150020;13747;1;86.0;124.344;0.045372083333333334;56060.0;124.344;0.045372083333333334;56060.0
2020-04-04;149997;13803;1;80.0;706.5;0.03847916666666667;100120.0;706.5;0.03847916666666667;100120.0
2020-04-04;149959;13790;1;83.0;706.5;0.06919166666666667;114300.0;706.5;0.06919166666666667;114300.0
2020-04-04;149958;13794;1;65.0;706.5;0.13791666666666666;296880.0;706.5;0.13791666666666666;296880.0
2020-04-03;149996;13804;1;88.0;706.5;0.030329166666666667;77640.0;706.5;0.030329166666666667;77640.0
2020-04-03;149998;13802;1;73.0;1413.0;0.07855;72432.0;1413.0;0.07855;72432.0
2020-04-03;149960;13787;1;86.0;706.5;0.04740833333333333;55520.0;706.5;0.04740833333333333;55520.0
2020-04-03;149589;13739;1;76.0;423.90000000000003;0.07980416666666666;199288.0;423.90000000000003;0.07980416666666666;199288.0
2020-04-03;149777;13761;2;91.0;282.59999999999997;0.021070833333333334;121884.0;565.1999999999999;0.04214166666666667;243768.0
2020-04-03;149782;13753;1;82.0;847.8000000000001;0.06440416666666667;142290.0;847.8000000000001;0.06440416666666667;142290.0
2020-04-03;149780;13752;1;73.0;847.8000000000001;0.08463375000000001;138458.0;847.8000000000001;0.08463375000000001;138458.0
2020-04-03;149619;13745;1;76.0;565.1999999999999;0.09295833333333332;187610.0;565.1999999999999;0.09295833333333332;187610.0
2020-04-03;149618;13744;1;62.0;423.90000000000003;0.060110416666666666;180142.0;423.90000000000003;0.060110416666666666;180142.0
2020-04-02;149961;13785;1;74.0;423.90000000000003;0.1040375;305360.0;423.90000000000003;0.1040375;305360.0
2020-04-02;149962;13784;1;81.0;423.90000000000003;0.0448075;112096.0;423.90000000000003;0.0448075;112096.0
2020-04-02;149995;13805;1;85.0;706.5;0.0314875;79960.0;706.5;0.0314875;79960.0
2020-04-01;149633;13746;1;76.0;52.281;0.011243333333333334;29310.0;52.281;0.011243333333333334;29310.0
2020-04-01;149634;13681;1;85.0;85.25099999999999;0.012620833333333333;36310.0;85.25099999999999;0.012620833333333333;36310.0
